sweep,x,single_t,single_G,cvt_t,cvt_pct,shift_t,shift_pct,shift_n,single_feasible
mass,1,0.4100000000000003,3.8461538461538463,0.3780000000000003,7.8048780487804885,0.4200000000000003,-2.439024390243903,0,True
mass,1.5,0.5040000000000003,4.769230769230769,0.46800000000000036,7.1428571428571335,0.5030000000000003,0.19841269841269846,0,True
mass,2,0.5930000000000004,5.230769230769231,0.5580000000000004,5.9021922428330535,0.6060000000000004,-2.192242833052277,0,True
mass,3,0.7720000000000006,7.076923076923077,0.7400000000000005,4.145077720207254,0.7730000000000006,-0.1295336787564767,0,True
mass,4,0.9530000000000007,8.461538461538462,0.9260000000000007,2.833158447009444,0.9680000000000007,-1.5739769150052467,0,True
mass,6,1.322999999999965,11.692307692307692,1.304999999999967,1.3605442176869609,1.3259999999999648,-0.22675736961449347,0,True
mass,8,1.6989999999999237,14.923076923076923,1.687999999999925,0.6474396703943074,1.6999999999999236,-0.05885815185402794,0,True
mass,10,2.077999999999882,18.615384615384617,2.0739999999998826,0.1924927815206827,2.0849999999998814,-0.3368623676611947,0,True
mass,12,2.477999999999838,20.0,2.477999999999838,0.0,2.477999999999838,0.0,0,True
mass,14,3.0389999999997763,20.0,3.0389999999997763,0.0,3.0389999999997763,0.0,0,True
mass,16,3.9269999999996785,20.0,3.9269999999996785,0.0,3.9269999999996785,0.0,0,True
mass,18,5.547000000000187,20.0,5.547000000000187,0.0,5.547000000000187,0.0,0,True
mass,20,9.468000000000192,20.0,9.468000000000192,0.0,9.468000000000192,0.0,0,True
mass,22,,,,,,,,False
mass,24,,,,,,,,False
stroke,0.2,0.20900000000000016,6.615384615384615,0.19100000000000014,8.612440191387561,0.20900000000000016,0.0,0,True
stroke,0.4,0.36800000000000027,5.6923076923076925,0.34000000000000025,7.608695652173914,0.3770000000000003,-2.445652173913044,0,True
stroke,0.7,0.5930000000000004,5.230769230769231,0.5580000000000004,5.9021922428330535,0.6060000000000004,-2.192242833052277,0,True
stroke,1.0,0.8140000000000006,5.230769230769231,0.7740000000000006,4.914004914004915,0.8230000000000006,-1.1056511056511058,0,True
stroke,1.4,1.105999999999989,4.769230769230769,1.0619999999999938,3.978300180831428,1.1109999999999884,-0.45207956600357135,0,True
stroke,1.8,1.3949999999999572,4.769230769230769,1.3499999999999621,3.2258064516126472,1.3989999999999567,-0.2867383512544575,0,True
stroke,2.4,1.8279999999999095,4.769230769230769,1.7819999999999145,2.516411378555646,1.8309999999999091,-0.16411378555797693,0,True
stroke_heavy,0.4,1.4299999999999533,20.0,1.4299999999999533,0.0,1.4299999999999533,0.0,0,True
stroke_heavy,0.7,2.477999999999838,20.0,2.477999999999838,0.0,2.477999999999838,0.0,0,True
stroke_heavy,1.0,3.5269999999997226,20.0,3.5269999999997226,0.0,3.5269999999997226,0.0,0,True
stroke_heavy,1.4,4.924999999999979,20.0,4.924999999999979,0.0,4.924999999999979,0.0,0,True
stroke_heavy,1.8,6.323000000000446,20.0,6.323000000000446,0.0,6.323000000000446,0.0,0,True
